idx,headline,summary,labels
38,11 Shows We’ll Be Talking About in December,This used to be the time of year when producers coasted through the holidays. No longer.,5
39,11 Shows We’ll Be Watching in August,"August means vacation. It also means fewer new shows to watch on that vacation. And yet, we’ve still found a bunch of debuts and new seasons to get excited about this month.",5
40,11 of Our Best Weekend Reads,"From “The Lion King” to marathon Thanksgiving preparations, here’s a look at some of The Times’s best recent journalism.",5
41,11 of Our Best Weekend Reads,"It’s the weekend, so get comfy and learn how to solve the Times crossword (you ARE smart enough), prepare for Sunday’s supermoon, or find out a little more about Jay-Z.",8
42,11 of Our Best Weekend Reads,The case for the New York City subway. Meet the men’s Olympic figure skating champ who loves Winnie the Pooh. Read up on Golden Globes nominees and how sexual harassment scandals may change the red carpet.,5
43,11 of Our Best Weekend Reads,"This weekend, learn how both the Heisman and a gingerbread house is made; find out who has been swept up in the continuing avalanche of sexual harassment revelations, and so much more.",8
44,"11,000 U.S. Troops in Afghanistan, Pentagon Says in Effort at Transparency","The Defense Department had for years publicly disclosed only the number of troops taking part in the NATO-led mission in Afghanistan, not counterterrorism forces there.",7
45,"11-Year-Old Has Spent Her Life in Jail, a Serial Killer as a Cellmate","Meena, an Afghan girl born behind bars, has never been outside, and her convicted mother can keep her until she is 18. She is not the only child there, either.",7
46,12 Killed During Church Service in Nigeria; Pope Condemns Violence,"The shootings were likely to be linked to drug gangs active in both Nigeria and South Africa, a police official said.",7
47,12 Shows We’ll Be Talking About in November,"This month will feature an especially impressive lineup of new shows, with an abundance of big and promising names attached.",0
48,13 Beloved TV Holiday Specials You Can Stream Right Now,The Grinch and Frosty the Snowman have an almost Santa-like stature in the Christmas pantheon. And several Hanukkah specials and more secular tales offers viewers a bit of diversity.,2
49,"13 Far-Flung, Beautiful Destinations That Appeared in T This Year","In 2017, we spanned the globe, stopping at the Hoh Rain Forest in Washington State, the dunes of Cap Ferret and India’s lost mansions.",5
50,13 Great Titles Expiring From Netflix in January,Musicals! Monsters! Mean girls! Catch these great movies and TV shows before they’re gone.,5
51,"13,000 Tourists Stranded in a Swiss Ski Resort for 2 Days","A combination of snow and rain shut off access to Zermatt, near the Matterhorn. Until late Wednesday afternoon, helicopter was the only way out.",5
52,16 Diplomats Sickened After Attack Last Year in Havana,The State Department reported on Thursday that at least 16 employees became ill after a possible sonic attack starting last December in homes of U.S. Embassy employees in Cuba.,5
53,"16 Years of War in Afghanistan, in Pictures","Photographs chronicle a war that has vexed three presidencies and outlasted a dozen military commanders, and there is no end in sight.",7
54,17 ISIS Fighters Reported Killed as U.S. Ends Lull in Libya Airstrikes,"A half-dozen “precision strikes” hit a training camp about 150 miles southeast of Surt, from which militants were plotting and conducting attacks, the military said.",1
55,18 Shuttered Catholic Churches May Soon Be Up for Sale,"The Archdiocese of New York deconsecrated the churches in June, paving the way for the properties to be repurposed or sold.",7
56,"18 Years Into the New Millennium, Finding My Younger Self","None of my efforts to break old habits will add one day to my life, but I’m experiencing some of the passion I felt in the first 18 years of my life.",5
57,2 American Families Are Mourned After Plane Crash in Costa Rica,Nine people from two families in New York and Florida were among the 12 people killed in the crash.,7
58,2 Arrested as Rotterdam Concert Is Canceled Over Terrorism Threat,"A show in the Netherlands by the band Allah-Las was abandoned on the advice of the police in Spain, where attacks killed 15 last week.",1
59,2 Frenchwomen Accuse Prominent Islamic Scholar of Sexual Assault,The activist Henda Ayari and another woman filed police complaints accusing Tariq Ramadan of violent attacks. He is the author of numerous books on modern Islam and a well-known figure in the media.,5
60,"2 Journalists, at Fox and Washington Post, Are Accused of Misconduct","James Rosen, a Washington correspondent, left Fox News last month, and Joel Achenbach, a Washington Post reporter, received a 90-day suspension on Wednesday.",8
61,2 Killed in Amtrak Crash Shared a Passion for Trains,"The chance to ride on a train’s maiden run on a newly opened line was irresistible for Zack Willhoite and James Hamre, who volunteered for a rail advocacy group.",7
62,2 Leading Online Black Markets Are Shut Down by Authorities,"The authorities took control of one large site, Hansa Market, and covertly operated it to catch refugees fleeing the closing of the largest market, AlphaBay.",5
63,2 Men Charged in Quadruple Homicide in Troy; Motive Is a Mystery,"James W. White and Justin C. Mann, both of Schenectady, N.Y., were charged in the deaths of a woman, her 11- and 5-year-old children and her partner.",7
64,2 Navy Airmen and an Object That ‘Accelerated Like Nothing I’ve Ever Seen’,"What began as a training mission took a bizarre turn in 2004, an encounter that caught the attention of a Pentagon program investigating U.F.O.s.",5
65,2 Police Officers Are Charged in Assault of Mentally Ill Man,"The man, Zachary Bear-heels, 29, died after the Omaha officers used a Taser and punched him. The coroner ruled the death a result of “excited delirium” and the officers were fired.",3
66,"2 Psychologists in C.I.A. Interrogations Can Face Trial, Judge Rules","The suit is one of the few attempts to hold people accountable for harm caused by the Central Intelligence Agency’s program in the years after the Sept. 11, 2001, attacks.",5
67,2 Senators Question Effects of a Reverse Mortgage Proposal,They worry that a small wording change in a budget request might increase the chances of surviving spouses losing their homes.,5
68,2 Sisters in Charlottesville Sue Far-Right Leaders Over Car Attack,"The lawsuit names 28 defendants, including the man suspected to be the driver and organizers of the white nationalist rally.",5
69,2 Suspects Held in Plot to Kill the U.K. Prime Minister,The pair are accused of a hazy plan to bomb Theresa May’s offices and residence on Downing Street and then to stab her to death.,1
70,2 Texas Students Sue Schools to Freely Protest the Pledge,"In separate lawsuits, the students said their schools violated their constitutional rights to protest injustice by sitting through the Pledge of Allegiance.",5
71,2 Top Soccer Officials Found Guilty in FIFA Case,The verdicts against Juan Ángel Napout and José Maria Marin partially resolved a trial in the United States’ case focused on FIFA.,8
72,2 Women Who Settled With O’Reilly Over Sexual Harassment Sue for Defamation,"Andrea Mackris and Rebecca Gomez Diamond, both former Fox News employees, contend that statements by Mr. O’Reilly and the network depicted them as liars.",5
73,20 Must-Read Books on the Vietnam War,Here’s a list of essential reading — just in time for the new Ken Burns documentary — on the conflict that divided America.,5
74,20 Percent More Smokers Quit After $1 Price Increase,"When the price of a pack of cigarette increases by $1, there is a 20 percent increase in rates of quitting smoking.",5
75,20 Wines for Under $20: Weeknight Pleasures for Relaxed Evenings,These easygoing bottles will not challenge or demand. They are all refreshing pleasures and great values. But they will also reward attention.,8
76,2017 Breeders’ Cup Contenders: The Experts Make Their Picks,Joe Drape and Victor Mather of The New York Times weigh in on the contenders for the Breeders’ Cup World Championships.,5
77,"2017 Set Record for Losses From Natural Disasters, Insurer Says","Hurricanes, fires and floods drove insurance payouts to $135 billion last year.",7
78,2017: The Year in New York,"The subways slowed down, Chris Christie took some time to relax at the beach, and a 47-year-old murder was solved. Here are the stories that got New Yorkers talking in 2017.",5
79,"2017’s Best Technology Tips and Tricks: You Asked, We Answered",Readers of The Times’s personal technology section had lots of questions. Here we highlight the most compelling — in terms of their connection to current events or in reader response.,5
80,2018 Grammy Nominations,The nominees for 20 of the 84 categories.,5
81,"2018 World Cup Draw: 32 Teams, 1 Goal","Friday’s draw for the 2018 World Cup will sort the field of 32 countries into eight first-round groups. How they got to Russia, and what they expect when they get there, is different for each of them.",8
82,"21 Years Later, Jeff Maier Gets to Relive His Big Moment","He is now the father of three. And yes, he was keeping tabs on the Yankees on Saturday when another 12-year-old fan got involved in a postseason home run.",8
83,21st Century Fox Pressed by Investment Group to Overhaul Board,The CtW Investment Group said the company’s directors had failed to effectively address the “longtime ethics crisis” at Fox News in a way that put 21st Century Fox at risk.,5
84,21st-Century Repairman: The Robot in the Gas Main,"Con Edison is using Cisbot for work beneath the streets. It crawls through gas mains, reducing the need to rip up pavement and disrupt neighborhoods.",5
85,23 Women Accuse Former Queens Priest of Abusing Them as Children,"The man, who was assigned to the parish for nearly 25 years, is accused of sexually abusing the girls when they were 5 to 16 years old, between 1972 and 1994.",7
86,26 Young Women From Nigeria Found Dead in Mediterranean Sea,"The women, estimated to be between 14 and 18 years old, are believed to be victims of sex trafficking, the authorities said.",7
87,"27 Contact Lenses Are Found in Woman’s Eye, Doctors Report",A medical team in Britain decided to publicize the case to raise awareness about safe contact lens use.,5
88,"270,000 Rohingya Have Fled Myanmar, U.N. Says","Camps in Bangladesh, already crowded and underserved, are “bursting at the seams” with people fleeing the military crackdown in Myanmar.",7
89,29 Minutes From New York to Washington? Elon Musk Teases a New Hyperloop,The entrepreneur said on Twitter that he had verbal approval to build a transportation artery connecting cities from New York to Washington D.C.,5
90,2nd Federal Judge Strikes Down Trump’s New Travel Ban,"Hours after a judge in Hawaii blocked most of President Trump’s order from taking effect, a judge in Maryland used somewhat different grounds to reach the same result.",5
91,3 Books That Delve Into What Work Means to Us,"The workplace is evolving, as is our relationship to it. These three novels explore how work interacts with our personal lives.",5
92,3 Books That Explore Catalonia’s Fight for Independence,The secessionist movement has been prominent for years.,5
93,3 Books on North Korea and the Threat of Nuclear War,"Two books offer readers insight into the Orwellian society, and another discusses policy solutions.",5
94,3 Chill-Proof Party Looks,"A holiday cheat sheet: styles for every style, and — bonus — you won’t freeze in them.",0
95,3 Killed in New Mexico School Shooting,"The New Mexico State Police said no other injuries were reported in the shooting, which took place near the Navajo Nation.",7
96,3 Killings in Tampa Frighten Residents and Perplex the Police,"“Everybody at this point is a suspect,” the city’s interim police chief told residents at a community meeting.",1
97,3 United Nations Soldiers Are Killed in Northern Mali,"The West African country has become one of the United Nations’ deadliest peacekeeping missions, with more than 130 fatalities in four years.",7
98,"3 Weddings, 4 Dozen Rabbis and 1,400 Cupcakes",Three couples denied marriage in Israel for various reasons were wed in a festive ceremony in New York.,5
99,30 Vaquita Porpoises Are Left. One Died in a Rescue Mission.,Scientists called off an effort to save one of the world’s rarest marine mammals — the vaquita — when one died after being captured for rehabilitation.,7
100,"36 Hours in Kigali, Rwanda","More than 20 years after the horrific genocide in Rwanda, Kigali is emerging as a proud city, known for its great coffee and dining, progressive start-ups and energetic art scene.",4
101,4 Barcelona Suspects Are Charged With Terrorism Offenses,Court officials told the Spanish news media that at least one of the suspects had confirmed that the cell had planned a larger attack.,7
103,4 Labels to Brag About Knowing Before Everyone Else,These buzzy designers are showing at New York Fashion Week. Remember their names.,8
104,4 Takeaways From Bergdahl’s Sentencing Hearing,"As Sgt. Bowe Bergdahl waits to hear what his punishment will be for walking off his Army post and into Taliban captivity, military officials seek insights from his case.",5
105,4 U.S. Women Hit by Acid Attack in France,"The Americans, all in their twenties, were at a train station in Marseille when a woman threw acid on them, injuring two, officials said. The police said “nothing suggests” it was a terrorist attack.",1
106,4 Ways Trump Has Moved to Undo His Predecessors’ Legacies,"President Trump has promised sweeping changes to health care, immigration, the Iran deal and trade. Here’s a look at where things stand now.",3
108,48 Hours With Carolina Herrera Before Her Show,The designer presented her spring/summer 2018 collection on Monday night at the Museum of Modern Art.,5
109,48 Hours in London with Gigi Hadid,"The model’s collaboration with Tommy Hilfiger, now in its third season, debuted at the Roundhouse this week. T followed along in the moments before the show.",0
110,487 Original Programs Aired in 2017. Bet You Didn’t Watch Them All.,"The staggering growth of original shows largely comes from the seemingly endless budget lines that help produce new shows for streaming services, chiefly Netflix.",5
114,5 Destinations for the Thanksgiving Traveler,"For many Americans, Thanksgiving travel generally means visiting family and perhaps some shopping. But if you have time for something a little different this year, there are worthwhile events happening across the country, in big cities and spots more off the beaten path.",8
115,5 Flight Safety Videos Worth Watching,A new British Airways video featuring some of the country’s best-known actors and comedians is the latest in a long line of entertaining flight safety films.,5
116,5 Last-Minute Labor Day Destinations,"This Labor Day weekend is not the last long holiday weekend of the year, but it’s the last one of this summer. Here are five trip itineraries to consider from our 36 Hours series.",5
117,5 Lessons Seattle Can Teach Other Cities About Amazon,"For Seattle, Amazon has become far more than a big employer and taxpayer.",5
118,5 Questions About Single-Payer Health Care,The odds are rising that Democrats will make a push toward single-payer when they next are in charge. Here are the questions to consider.,5
119,5 Shows to See if You’re in New York in December,"Dark plays are fitting for a dark month, and perhaps for our national mood. These productions offer criticism, mystery, warning and hope.",5
120,5 Shows to See if You’re in New York in January,"For the new year, productions that aim to shake up your senses and challenge your assumptions. Plus: ’80s jargon and hair.",5
121,5 Shows to See if You’re in New York in November,"“Brigadoon” appears (briefly), Amy Schumer steps onto Broadway and an acclaimed musical returns to a bigger stage.",8
122,5 Shows to See if You’re in New York in September,"Group weddings, Korean pop, a superannuated Peter Pan and a transgender Emily Post are among the promising theatrical experiences of September.",8
123,5 Styling Tips From New York Fashion Week,"From oversize shirts to sneakers with dresses, tricks to take away from the shows in New York this week.",5
124,5 Teenagers Are Charged With Murder After a Man Is Struck by a Rock From an Overpass,"A prosecutor called the killing a “willful and wanton act.” The teenagers, who were denied bond, will be charged as adults.",7
125,5 Things to Cook While Watching ‘Arrested Development’ Reruns,You can get your fix of frozen bananas and Bluth family egotism by streaming reruns of the show on Netflix.,5
126,5 Things to Cook While Watching ‘Seinfeld’ Reruns,"“Seinfeld” wasn’t a show about “nothing.” It was, at least in part, a show about food.",8
128,5 Ways to Get Good Customer Service From an Airline,"Tweeting at a carrier works, just don’t mock them and four other tips to make your flight smoother.",8
129,5 of Our Favorite Climate Stories of the Year,"We asked our reporters and editors to pick a memorable story they worked on, large or small.",8
130,5 ‘Psycho’ Surprises: Inside the Most Familiar Scene in Movies,A new documentary examines Hitchcock’s film from various angles. Did you know Scorsese modeled a fight sequence in “Raging Bull” on the shower scene?,5
131,52 Places to Go in 2018,A starter kit for escaping into the world.,5
132,6 Holiday Toy Crazes and Why They Captivated Kids (and Parents),Barbie. The hula hoop. The Rubik’s Cube. Cabbage Patch Kids. Every generation had its must-have toys. Here are some of the stories behind them.,5
133,6 Spooky Travel Destinations for the Halloween Season,"While a few cities provide a spooky vibe all-year-round, festivals, theme park pop-up events and other haunted happenings elsewhere have helped make Halloween a travel season all its own.",5
134,6 Things Parents Should Know About Sending Kids Back to School,A time to explore mixed emotions as we say goodbye to summer and say hello to new expectations.,8
135,"644,000 Old Warrants Scrapped for Crimes Like Public Drinking",A move by several New York district attorneys to dismiss years-old summonses was the latest effort in the city to reduce the number of people tried for nonviolent crimes.,4
136,"65 Percent of Mexicans View U.S. Negatively, Survey Finds","The result is a stark contrast to Pew’s survey of 2015, when 66 percent of Mexicans had a generally positive view of the United States.",7
137,67 Former Attorneys General Have a Message: Condemn Hate Bluntly,"In a statement on Monday, the former attorneys general recommended a response along the lines of Bill Baxley’s salty letter to a K.K.K. leader in 1976.",4
138,7 Good Movies Expiring From Netflix in August,"Every month, as various licenses expire, streaming services lose movies and TV series from their catalogs. Here are seven movies leaving Netflix in August.",5
139,7 In-Depth Articles Tracing Ratko Mladic’s Downfall,"The Bosnian Serb former general, convicted of war crimes for the slaughter of Bosnian Muslims, has shaped the region’s image in war and in peace.",7
140,7 Million American Men Carry Cancer-Causing HPV Virus,The incidence of mouth and throat cancers caused by the human papilloma virus in men has now surpassed the incidence of HPV-related cervical cancers in women.,7
141,7 Movies to Watch This Labor Day Weekend,"From “Modern Times” to “Office Space,” here are a few movies about work to sample this weekend.",5
143,7 Richard Thaler Columns That Explain How Human Behavior Affects Economics,"Richard H. Thaler, who won the 2017 Nobel Memorial Prize in Economic Science, is no stranger to our pages. Here are some of his notable submissions.",5
144,7 Shows for President Trump to Watch on His Vacation,The president is spending 17 days in New Jersey and New York. A few of our critics weigh in with recommendations of shows to watch (besides the news).,8
145,7 Stopovers that Make Adding a Day (or More) to Your Trip Worthwhile,"The stopover — a daylong layover (or longer) — used to be a dreaded affair. These days, it's something to look forward to.",5
146,7 Wishes for 2018,2017 was one of the darker years in modern American history. Here’s hoping for the beginnings of a turning point.,4
147,"75,000 Apply for State College Scholarships, but Many Won’t Qualify","Low grade-point averages and breaks in schooling are challenging requirements, especially for lower-income students — and they often need help the most.",7
148,"8 Easy, Meaningful New Year’s Resolutions for Better Health","You don’t need fad diets, supplements, fancy workouts or lots of time or money to improve your health.",5
149,8 Fall Foliage Destinations Offering More Than Just Pretty Leaves,Eight destinations spanning the continental United States that offer pretty trees — and a lot more to fill up a perfect autumn weekend trip.,5
150,8 Things Fans Did Not Expect in the Patriots-Chiefs Game,"The Patriots lost to the Chiefs, 42-27, on a night of rarities for the Bill Belichick era.",8
151,8 Ways to Have a Better Relationship in 2018,Here’s some advice for improving your relationship in the new year.,5
152,84 Percent of Puerto Rico Still Doesn’t Have Power,"A look at the recovery effort in Puerto Rico by the numbers, nearly three weeks after Hurricane Maria made landfall.",7
153,9 Back-to-School Tips for Parents and Students,"Between the social-media-fueled pressure, college admissions madness and bullying culture, schools today can be a minefield. We collected some education-themed Op-Eds to help guide families as they settle into the new year.",5
155,9 New Books We Recommend This Week,Suggested reading from editors and critics at The New York Times.,5
156,9 New Books We Recommend This Week,Suggested reading from editors at The New York Times.,5
157,9 New Fashion Brands We Discovered This Year,"From maximalist pajamas to subversive Swedish men’s wear, T featured a range of emerging brands in 2017. Here, a roundup of some that still have us talking.",8
158,9 Ways to Work Better in 2018,"Our best tips and tricks for taking your career into your own hands, navigating workplace culture, and just getting through the day.",5
159,"9 Weeks After Harvey, Houston Celebrates World Series Win",Few cheered the Astros’ first World Series title louder than those hit hard by the floodwaters.,2
160,9/11: Finding Answers in Ashes 16 Years Later,New York’s medical examiners have never given up hope that their analysis of DNA can help identify the victims lost 16 years ago.,7
161,"911 Calls From Nursing Home Where Residents Died: ‘Oh My God, This Is Crazy’","The police in Hollywood, Fla., released 911 calls from a nursing home under investigation after some of its residents died in the post-hurricane heat.",7
162,"91st Edition of a Parade, and Always New","Security was stepped up for the Thanksgiving Day parade, but the children and adults along the route paid more attention to Olaf and the Grinch.",2
163,"99 Years Later, Navy Probing Warship Disaster Off Long Island","What caused the sinking of the U.S.S. San Diego, the only major American warship lost in World War I, which became an underwater haven for divers and marine life?",5
164,99-Million-Year-Old Amber Suggests Ticks Sucked Dinosaur Blood,"It is rare to find parasites with their hosts in the fossil record, and the discovery is the first direct evidence of the pests feeding on dinosaur blood.",5
165,"A $1,000 Day in Cape Town for $100","Taking a high-end itinerary in the charming South African city and, keeping its general spirit, remaking it on a more modest budget.",5
166,"A $10 Photo, Found at Flea Market: Could This Be Billy the Kid?","Experts say it’s a rare, valuable photo of the famous outlaw, who appears to be posing alongside the man who would shoot him dead.",5
167,"A $55 Million Gift, and a New Name, for the Mid-Manhattan Library",A gift from the Stavros Niarchos Foundation will help cover the cost of renovating the New York Public Library’s largest branch.,2
168,A 100-Car Army of Sound in Los Angeles,A new composition by Ryoji Ikeda created a wash of sound — car stereos blaring variations on the note A — as part of the Red Bull Music Academy festival.,5
169,A 20-Year Age Gap Makes No Difference,"She is two decades older. When she asked him about it, “He said it didn’t bother him, so it didn’t bother me.”",2
170,A 3-Way Debate Is Expected to Be a 2-on-1 Against de Blasio,"The Republican and independent candidates for mayor are expected to take aim at Mayor Bill de Blasio in Tuesday’s debate, while ignoring one another.",0
171,A 40-Foot Cross Has Honored War Dead for 90 Years. Is It Unlawful?,"An appeals court ruled against the longstanding monument in Maryland, potentially setting up a Supreme Court decision on when religious symbols can be on public property.",5
172,A 73-Year-Old Man Is Severely Burned in Queens by an Exploding Container,"The explosive was in a cylindrical Quaker Oats container, the police said. The man was in critical condition at Nassau University Medical Center.",7
173,"A 9-Year-Old Tripped, Fell and Discovered a Million-Year-Old Fossil","Jude Sparks was playing with his brothers in New Mexico when he stumbled over the fossilized tusk of a Stegomastodon, a prehistoric, elephantine creature.",5
174,A BFF Takes On a DIYer (LOL),A designer and her business partner brought their decorating experience and sense of style to organized chaos in an apartment on the Upper West Side.,5
175,A Barrier or a Fair Fee? Readers React to the Met’s New Admission Policy,"Last week, the Metropolitan Museum of Art announced it would begin charging out-of-town visitors a mandatory fee, a change that divided readers.",7
176,A Baseball Trivia Quiz for the Holidays,"Can you name the four Most Valuable Player Award winners, other than Babe Ruth, who have four-letter first and last names? If so, that’s one question down and 49 to go.",5
177,A Battle to Save the World’s Favorite Treat: Chocolate,"In Costa Rica, researchers are cloning cacao hybrids resistant to frosty pod rot, a blight that has spread throughout Latin America.",5
178,"A Beer Festival in China Has German Roots, but No Lederhosen","Thousands attended the Qingdao International Beer Festival this summer in China. If it looks like Oktoberfest, there is a good reason.",5
179,A Beginner’s Guide to Backing Up Photos,"Whether they’re digital photos on your smartphone or old negatives in your attic, here’s how to get started tackling your photo clutter.",5
180,A Beloved Boutique Owner’s Favorite Things,"Uncovering the passions and inspirations of Makie Yahagi, who has stores in New York and Tokyo.",2
181,"A Better Beet, Fresh From the Market",Canned beets just don’t compare to the sweet and earthy ones just pulled from the garden.,5
182,A Better Kind of Nursing Home,"At Green Houses, residents have more independence and facilities are less institutional — a big improvement over most nursing homes, new research finds.",5
183,"A Better, Safer Battery Could Be Coming to a Laptop Near You","A start-up company in Massachusetts says it has found a way to turbocharge alkaline batteries for a safer, cheaper and rechargeable alternative to lithium ion.",5
184,A Big Bill After Visiting the E.R.?,A former health care administrator comments on for-profit health care companies.,5
185,A Big College Sports Business Is About to Get Bigger,"If Learfield merges with IMG College, it will command near total control over the niche but lucrative market of college sports multimedia rights.",0
186,"A Big Deal in Big Food, Irene Rosenfeld Retires From Mondelēz","The C.E.O. of a huge food company is stepping down after more than a decade at the helm. She created value for shareholders, but consumer tastes are changing.",5
187,A Big N.F.L. Game Comes to Mexico City. These Guys Have it Covered.,"The podcast Primero y Diez, or First and 10, exemplifies the passion for American football in Mexico and the kind of fans the league is cultivating.",8
188,A Big Test of Police Body Cameras Defies Expectations,"The results of the largest, most rigorous study of the issue in the U.S. show surprisingly little change in police behavior.",5
189,A Big Turnover in the N.F.C.: The Top Teams at Midseason,"Four teams at the top of the conference did not make the playoffs last year. Giants, Packers, Cowboys, Lions, where are you?",8
190,A Big Wave of Cash (but With Dry Spots) for Democratic House Challengers,"The party is struggling to recruit candidates in working-class areas, and it might have too many challengers in the most affluent districts.",8
191,A Bill Funding Arts and Humanities Endowments Passes House Committee,"Months after President Trump proposed eliminating the N.E.A. and the N.E.H., a bill to finance them was approved by the appropriations panel.",4
192,A Birkin Bag in the Box Is Worth a Lifetime of Debt,"At New York Loan Company, an upscale pawnshop, clients use designer handbags like credit cards. One reason to hold on to the packaging.",8
193,A Bit of New York City History at Risk,Other cities create replicas of past grandeur to attract visitors. New York has the real thing — and should preserve it.,5
194,"A Bitcoin Hedge Fund’s Return: 25,004 Percent (That Wasn’t a Typo)","The Pantera Bitcoin Fund was set up in 2013, when few on Wall Street were interested in cryptocurrencies. It has since ridden the Bitcoin wave to blockbuster returns.",5
195,A Black Royal? Meghan Markle Won’t Be the First,"Black women have become royals for years and years, unbeknown to many.",5
196,A Blind Runner and His Very Good Boy,"Guide dogs are taught to keep the blind safe. Now they’re being trained to help guide visually impaired runners in road races — and maybe, someday, in a marathon.",5
197,A Bold Explorer Surfaces in ‘Wandering Lake’,"Patty Chang’s show at the Queens Museum sees water as a metaphor for gender fluidity, migration, life.",5
